Name,PI,Researcher
Lucas S Moyon,,2427
Benjamin Rosa,2075,
Jacqueline MacDonald Gibson,2809,
German Gutierrez,,2431
Anna E Wentz,,1284
Ryan Hanson,,2262
Janjala Chirakijja,1784,
Brendan M Price,,"1181, 1684"
Siyuan Liu,,"1181, 1684"
Erika Iisa,,2817
Hunt V Allcott,787,
Zeynep T Suzer Gurtekin,1064,
Brian T Lucking,,"1632, 1694, 1057"
Min Jeong Kim,,1743
Amy Lim,,"2697, 2278, 2181, 2547, 2941, 2861"
Christopher Timmins,,406
Eric Grodsky,2239,
Alejandro Parraguez-Tala,,2439
Yixin Wang,,834
Samuel W Arenberg,2603,2272
Naoka Carey,2931,
Benjamin W Raymond,,2497
Kendra R Marcoux,2309,
Joseph R Reddin,,2674
Ray H Kim,,2211
Ryan K Vaughn,,406
Andrea Cerrato,,1956
Kevin Rinz,,1942
Deniz Civril,1180,"1571, 1352"
Marigee Bacolod,170,
Marissa Hartsoe,,2552
Eleanor R Wilking,,880
Franz Fuchs,2909,
Paige Rowberry,,3075
Sahil Chinoy,,2747
James Traina,3069,"2735, 2441"
Derek Christopher,,2534
Daniel A Hartley,,2403
Erika Uyterhoeven,,786
Anton Babkin,,"1119, 906, 2221"
Shouyue Yu,,"623, 493"
Richard Jin,,2835
Luciano Lapa,,2181
Jiashuo Feng,2229,
Tao Zha,1318,
Emek M Basker,,"1433, 1179"
Julie Gressley,,2383
Yuhan Wang,,2521
Raja P Velu,202,
Chunlin Chen,,2432
Rong Huang,,1252
Robin M Leichenko,708,
Aleksey G Verkhivker,,447
Masaki Yamada,,189
Kevin Duncan,2497,
Florence E Honore,2296,845
John R Hipp,"2534, 455",
Tim Ortyl,,797
Kelsey Cundiff,,1549
Jennifer Withrow,,2357
Michael A Zabek,2226,1284
Kei-Mu Yi,2631,
Animesh Giri,,802
Daniel O'Connor,,"1956, 2211"
Chen Sun,,1105
Joshua Clapp,2215,
Philip G Berger,,503
Lorenz Kueng,,1134
Sibo Lu,,1105
Anne Royalty,,1362
Shaoming Cheng,943,
Ivan D Sanchez-Diaz,,863
Hannah R Case,,2835
Flavio Stanchi,,1433
Brent Haydamack,,209
Robert Kaestner,1169,
Elizabeth W Handwerker,,429
Caroline M Chin,,"2347, 1684"
Meghan L Zacher,,797
Yoshiki Ando,2633,2735
Jooyoun Park,682,
Joshua D Angrist,,487
Ludovica A Gazze,1739,
James Giles,,2387
Jordan Peeples,2730,
Yichen Su,1691,
Jeffery Y Zhang,,2427
Luwen Mai,,1875
Minsu Ko,2744,
Brady T West,,1326
Brian K Kovak,,1762
Matthew L Freedman,"2146, 1175","406, 1504"
Ruoqing Wang-Cendejas,,1211
David Rigby,209,
Markus Schneider,1935,
David Powell,,717
Patrick M Kline,535,
David Frisvold,1288,
Laurie Paarlberg,1833,
Enrico Moretti,71,
Eric Verhoogen,2111,
Jingnan Liu,,2296
Jason Harrison,,2528
Binyamin Kleinman Orleansky,2542,
John Sullivan,,"2285, 2556"
Matthew L Haumann,,"2104, 1808, 1582, 2567"
Sebastian Steffen,,"1473, 1069"
Jonathan Hawkins,,2309
Alexander M Gelber,,786
Jenny Lin,,784
Charles S Holupka,,"1881, 2507"
Dror Shvadron,,2370
Seth Carnahan,,"1814, 2296, 845"
John Wald,,1960
Michele Parker,2867,
Alecia Cassidy,1537,
Nathan L Frey,,1070
Howard J Carlson,,"1745, 2517"
Jennie E Lowry Brand,,792
Chenqi Zhu,,2511
Xudong Fu,2273,
Mark Meiselbach,,2477
Jiawei Tang,,2176
Joseph Altonji,,1787
James Lin,,514
Jordan Berne,3054,1743
Susan E Chen,,802
Till M Von wachter,,"758, 658"
Matthew E Cox,,70
Andrew Owen,,"2552, 2657"
Marlon G Boarnet,,1367
Venky Nagar,,997
Mitchell P McFarlane,,2136
Joshua Davis,,434
Lucas W Davis,"729, 595",
Yuqing Zhou,,"2299, 2127"
Gavin W Alcott,,1684
Katherine J Curtis,,2556
Richard B Freeman,,1571
Emily Owens,,2534
Andrea M Garcia,,"2631, 1298, 2439"
Jessica H Hardie,2951,
Justin R Pierce,2718,"871, 1237, 1179"
Mary E Farrell,163,
Todd E Elder,626,
Peter Philips,,2497
Caroline L Wolski,,2414
Traci L Mach,,2801
Bao Khanh H Vu,,1668
Ryan A Perry,,1571
Kyle G Coombs,,2111
Bernardo A Modenesi,,2176
Charly J Porcher,,2539
Martino Destefano,,56
Matthew S Corritore,,1069
Bethany M Smith,,"2120, 1320"
Hilary W Hoynes,,"1284, 2898"
Deniz Dutz,,2476
Marianne Mintz,,343
Kimberly N Bayard,100,
Matthew D Berman,1211,
Alice Zawacki,,2065
Brittany M Bond,,1182
Joshua L Kinsler,,2674
David Sommerfeld,,273
Rebecca J Walter,2137,
Obofoni A Obadan,,2412
Shital Sharma,,"1191, 1473, 1069"
Cuicui Chen,2763,
